01:29-kor, várakozási ideje: 30 mp, utazási ideje: 20 mp, 6.szintrõl a 3.szintre
01:30-kor, várakozási ideje: 10 mp, utazási ideje: 15 mp, 8.szintrõl a 10.szintre
01:30-kor, várakozási ideje: 15 mp, utazási ideje: 40 mp, 5.szintrõl a 12.szintre
01:31-kor, várakozási ideje: 35 mp, utazási ideje: 95 mp, 4.szintrõl a 9.szintre
01:31-kor, várakozási ideje: 55 mp, utazási ideje: 10 mp, 0.szintrõl a 1.szintre
01:31-kor, várakozási ideje: 105 mp, utazási ideje: 70 mp, 7.szintrõl a 2.szintre
01:32-kor, várakozási ideje: 65 mp, utazási ideje: 70 mp, 2.szintrõl a 1.szintre
01:32-kor, várakozási ideje: 80 mp, utazási ideje: 20 mp, 6.szintrõl a 4.szintre
01:33-kor, várakozási ideje: 90 mp, utazási ideje: 20 mp, 8.szintrõl a 6.szintre
01:34-kor, várakozási ideje: 95 mp, utazási ideje: 20 mp, 5.szintrõl a 8.szintre
01:35-kor, várakozási ideje: 20 mp, utazási ideje: 70 mp, 7.szintrõl a 12.szintre
01:36-kor, várakozási ideje: 20 mp, utazási ideje: 15 mp, 4.szintrõl a 2.szintre
01:37-kor, várakozási ideje: 45 mp, utazási ideje: 55 mp, 11.szintrõl a 2.szintre
01:37-kor, várakozási ideje: 25 mp, utazási ideje: 50 mp, 4.szintrõl a 12.szintre
01:38-kor, várakozási ideje: 45 mp, utazási ideje: 50 mp, 10.szintrõl a 2.szintre
01:38-kor, várakozási ideje: 40 mp, utazási ideje: 20 mp, 10.szintrõl a 7.szintre
01:40-kor, várakozási ideje: 70 mp, utazási ideje: 15 mp, 1.szintrõl a 3.szintre
01:40-kor, várakozási ideje: 15 mp, utazási ideje: 10 mp, 10.szintrõl a 11.szintre
01:41-kor, várakozási ideje: 30 mp, utazási ideje: 40 mp, 1.szintrõl a 7.szintre
01:42-kor, várakozási ideje: 10 mp, utazási ideje: 15 mp, 5.szintrõl a 7.szintre
01:42-kor, várakozási ideje: 35 mp, utazási ideje: 60 mp, 6.szintrõl a 7.szintre
01:43-kor, várakozási ideje: 50 mp, utazási ideje: 70 mp, 1.szintrõl a 11.szintre
01:43-kor, várakozási ideje: 30 mp, utazási ideje: 105 mp, 2.szintrõl a 11.szintre
01:43-kor, várakozási ideje: 80 mp, utazási ideje: 15 mp, 4.szintrõl a 6.szintre
01:45-kor, várakozási ideje: 40 mp, utazási ideje: 30 mp, 4.szintrõl a 2.szintre
01:45-kor, várakozási ideje: 40 mp, utazási ideje: 35 mp, 5.szintrõl a 0.szintre
01:47-kor, várakozási ideje: 25 mp, utazási ideje: 20 mp, 11.szintrõl a 8.szintre
01:48-kor, várakozási ideje: 35 mp, utazási ideje: 25 mp, 7.szintrõl a 11.szintre
01:49-kor, várakozási ideje: 15 mp, utazási ideje: 15 mp, 5.szintrõl a 3.szintre
01:50-kor, várakozási ideje: 5 mp, utazási ideje: 15 mp, 4.szintrõl a 6.szintre
01:50-kor, várakozási ideje: 5 mp, utazási ideje: 35 mp, 7.szintrõl a 12.szintre
01:50-kor, várakozási ideje: 5 mp, utazási ideje: 45 mp, 11.szintrõl a 4.szintre
01:50-kor, várakozási ideje: 50 mp, utazási ideje: 40 mp, 3.szintrõl a 10.szintre
01:51-kor, várakozási ideje: 50 mp, utazási ideje: 15 mp, 4.szintrõl a 2.szintre
01:54-kor, várakozási ideje: 15 mp, utazási ideje: 30 mp, 7.szintrõl a 12.szintre
01:55-kor, várakozási ideje: 10 mp, utazási ideje: 50 mp, 1.szintrõl a 10.szintre
01:55-kor, várakozási ideje: 75 mp, utazási ideje: 30 mp, 11.szintrõl a 6.szintre
01:56-kor, várakozási ideje: 15 mp, utazási ideje: 50 mp, 10.szintrõl a 5.szintre
01:57-kor, várakozási ideje: 20 mp, utazási ideje: 55 mp, 12.szintrõl a 2.szintre
02:00-kor, várakozási ideje: 30 mp, utazási ideje: 30 mp, 12.szintrõl a 7.szintre
02:01-kor, várakozási ideje: 0 mp, utazási ideje: 15 mp, 2.szintrõl a 0.szintre
02:02-kor, várakozási ideje: 35 mp, utazási ideje: 15 mp, 7.szintrõl a 5.szintre
02:02-kor, várakozási ideje: 15 mp, utazási ideje: 65 mp, 4.szintrõl a 1.szintre
02:02-kor, várakozási ideje: 45 mp, utazási ideje: 35 mp, 6.szintrõl a 1.szintre
02:04-kor, várakozási ideje: 20 mp, utazási ideje: 25 mp, 6.szintrõl a 10.szintre
02:04-kor, várakozási ideje: 30 mp, utazási ideje: 40 mp, 5.szintrõl a 12.szintre
02:07-kor, várakozási ideje: 15 mp, utazási ideje: 50 mp, 7.szintrõl a 0.szintre
02:07-kor, várakozási ideje: 70 mp, utazási ideje: 55 mp, 0.szintrõl a 9.szintre
02:08-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 11.szintrõl a 12.szintre
02:08-kor, várakozási ideje: 0 mp, utazási ideje: 70 mp, 12.szintrõl a 1.szintre
02:09-kor, várakozási ideje: 30 mp, utazási ideje: 20 mp, 11.szintrõl a 9.szintre
02:09-kor, várakozási ideje: 55 mp, utazási ideje: 15 mp, 7.szintrõl a 9.szintre
02:10-kor, várakozási ideje: 10 mp, utazási ideje: 40 mp, 0.szintrõl a 4.szintre
02:10-kor, várakozási ideje: 25 mp, utazási ideje: 20 mp, 9.szintrõl a 7.szintre
02:10-kor, várakozási ideje: 65 mp, utazási ideje: 15 mp, 6.szintrõl a 4.szintre
02:11-kor, várakozási ideje: 10 mp, utazási ideje: 55 mp, 9.szintrõl a 2.szintre
02:12-kor, várakozási ideje: 0 mp, utazási ideje: 20 mp, 4.szintrõl a 2.szintre
02:12-kor, várakozási ideje: 20 mp, utazási ideje: 10 mp, 0.szintrõl a 1.szintre
02:13-kor, várakozási ideje: 60 mp, utazási ideje: 30 mp, 12.szintrõl a 7.szintre
02:13-kor, várakozási ideje: 10 mp, utazási ideje: 120 mp, 3.szintrõl a 0.szintre
02:14-kor, várakozási ideje: 65 mp, utazási ideje: 70 mp, 12.szintrõl a 0.szintre
02:15-kor, várakozási ideje: 95 mp, utazási ideje: 50 mp, 6.szintrõl a 8.szintre
02:16-kor, várakozási ideje: 5 mp, utazási ideje: 65 mp, 8.szintrõl a 0.szintre
02:16-kor, várakozási ideje: 15 mp, utazási ideje: 20 mp, 0.szintrõl a 3.szintre
02:16-kor, várakozási ideje: 105 mp, utazási ideje: 10 mp, 12.szintrõl a 11.szintre
02:17-kor, várakozási ideje: 25 mp, utazási ideje: 25 mp, 4.szintrõl a 0.szintre
02:18-kor, várakozási ideje: 70 mp, utazási ideje: 10 mp, 6.szintrõl a 5.szintre
02:20-kor, várakozási ideje: 5 mp, utazási ideje: 50 mp, 1.szintrõl a 10.szintre
02:21-kor, várakozási ideje: 40 mp, utazási ideje: 25 mp, 12.szintrõl a 8.szintre
02:21-kor, várakozási ideje: 65 mp, utazási ideje: 50 mp, 0.szintrõl a 8.szintre
02:22-kor, várakozási ideje: 15 mp, utazási ideje: 40 mp, 6.szintrõl a 0.szintre
02:23-kor, várakozási ideje: 0 mp, utazási ideje: 15 mp, 0.szintrõl a 2.szintre
02:25-kor, várakozási ideje: 20 mp, utazási ideje: 20 mp, 12.szintrõl a 9.szintre
02:25-kor, várakozási ideje: 35 mp, utazási ideje: 30 mp, 7.szintrõl a 2.szintre
02:26-kor, várakozási ideje: 30 mp, utazási ideje: 25 mp, 4.szintrõl a 8.szintre
02:29-kor, várakozási ideje: 10 mp, utazási ideje: 15 mp, 4.szintrõl a 2.szintre
02:29-kor, várakozási ideje: 5 mp, utazási ideje: 55 mp, 2.szintrõl a 12.szintre
02:31-kor, várakozási ideje: 10 mp, utazási ideje: 30 mp, 0.szintrõl a 5.szintre
02:31-kor, várakozási ideje: 75 mp, utazási ideje: 30 mp, 0.szintrõl a 4.szintre
02:31-kor, várakozási ideje: 80 mp, utazási ideje: 30 mp, 1.szintrõl a 5.szintre
02:32-kor, várakozási ideje: 10 mp, utazási ideje: 10 mp, 7.szintrõl a 6.szintre
02:34-kor, várakozási ideje: 15 mp, utazási ideje: 15 mp, 2.szintrõl a 0.szintre
02:37-kor, várakozási ideje: 20 mp, utazási ideje: 35 mp, 10.szintrõl a 4.szintre
02:39-kor, várakozási ideje: 5 mp, utazási ideje: 60 mp, 3.szintrõl a 12.szintre
02:39-kor, várakozási ideje: 15 mp, utazási ideje: 55 mp, 2.szintrõl a 10.szintre
02:39-kor, várakozási ideje: 35 mp, utazási ideje: 75 mp, 5.szintrõl a 3.szintre
02:41-kor, várakozási ideje: 5 mp, utazási ideje: 10 mp, 2.szintrõl a 3.szintre
02:42-kor, várakozási ideje: 15 mp, utazási ideje: 10 mp, 9.szintrõl a 10.szintre
02:42-kor, várakozási ideje: 25 mp, utazási ideje: 30 mp, 6.szintrõl a 10.szintre
02:42-kor, várakozási ideje: 35 mp, utazási ideje: 55 mp, 9.szintrõl a 3.szintre
02:42-kor, várakozási ideje: 50 mp, utazási ideje: 35 mp, 3.szintrõl a 8.szintre
02:44-kor, várakozási ideje: 10 mp, utazási ideje: 35 mp, 6.szintrõl a 0.szintre
02:46-kor, várakozási ideje: 5 mp, utazási ideje: 20 mp, 4.szintrõl a 7.szintre
02:47-kor, várakozási ideje: 20 mp, utazási ideje: 35 mp, 11.szintrõl a 5.szintre
02:47-kor, várakozási ideje: 45 mp, utazási ideje: 10 mp, 8.szintrõl a 9.szintre
02:49-kor, várakozási ideje: 10 mp, utazási ideje: 50 mp, 3.szintrõl a 12.szintre
02:50-kor, várakozási ideje: 40 mp, utazási ideje: 35 mp, 1.szintrõl a 6.szintre
02:50-kor, várakozási ideje: 60 mp, utazási ideje: 15 mp, 4.szintrõl a 6.szintre
02:51-kor, várakozási ideje: 10 mp, utazási ideje: 65 mp, 11.szintrõl a 1.szintre
02:52-kor, várakozási ideje: 5 mp, utazási ideje: 20 mp, 5.szintrõl a 2.szintre
02:52-kor, várakozási ideje: 80 mp, utazási ideje: 45 mp, 7.szintrõl a 1.szintre
02:53-kor, várakozási ideje: 15 mp, utazási ideje: 30 mp, 7.szintrõl a 2.szintre
02:53-kor, várakozási ideje: 45 mp, utazási ideje: 20 mp, 4.szintrõl a 2.szintre
02:54-kor, várakozási ideje: 20 mp, utazási ideje: 30 mp, 2.szintrõl a 7.szintre
02:55-kor, várakozási ideje: 45 mp, utazási ideje: 35 mp, 10.szintrõl a 5.szintre
02:55-kor, várakozási ideje: 20 mp, utazási ideje: 75 mp, 4.szintrõl a 8.szintre
02:56-kor, várakozási ideje: 40 mp, utazási ideje: 40 mp, 1.szintrõl a 7.szintre
02:56-kor, várakozási ideje: 0 mp, utazási ideje: 30 mp, 5.szintrõl a 0.szintre
02:56-kor, várakozási ideje: 50 mp, utazási ideje: 30 mp, 8.szintrõl a 10.szintre
02:57-kor, várakozási ideje: 30 mp, utazási ideje: 20 mp, 4.szintrõl a 6.szintre
02:58-kor, várakozási ideje: 15 mp, utazási ideje: 25 mp, 7.szintrõl a 11.szintre
02:58-kor, várakozási ideje: 5 mp, utazási ideje: 55 mp, 9.szintrõl a 0.szintre
02:59-kor, várakozási ideje: 55 mp, utazási ideje: 15 mp, 1.szintrõl a 3.szintre
03:00-kor, várakozási ideje: 30 mp, utazási ideje: 50 mp, 9.szintrõl a 2.szintre
03:01-kor, várakozási ideje: 35 mp, utazási ideje: 30 mp, 6.szintrõl a 3.szintre
03:01-kor, várakozási ideje: 30 mp, utazási ideje: 10 mp, 5.szintrõl a 4.szintre
03:01-kor, várakozási ideje: 45 mp, utazási ideje: 10 mp, 4.szintrõl a 5.szintre
03:01-kor, várakozási ideje: 25 mp, utazási ideje: 50 mp, 3.szintrõl a 10.szintre
03:01-kor, várakozási ideje: 90 mp, utazási ideje: 90 mp, 12.szintrõl a 4.szintre
03:02-kor, várakozási ideje: 145 mp, utazási ideje: 80 mp, 8.szintrõl a 3.szintre
03:02-kor, várakozási ideje: 10 mp, utazási ideje: 190 mp, 3.szintrõl a 0.szintre
03:02-kor, várakozási ideje: 55 mp, utazási ideje: 60 mp, 12.szintrõl a 7.szintre
03:04-kor, várakozási ideje: 40 mp, utazási ideje: 35 mp, 10.szintrõl a 6.szintre
03:04-kor, várakozási ideje: 10 mp, utazási ideje: 20 mp, 10.szintrõl a 8.szintre
03:04-kor, várakozási ideje: 95 mp, utazási ideje: 110 mp, 6.szintrõl a 11.szintre
